epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,9765.9,1.11544,0.64583,1.00146,0.6684,0.49836,0.51087,0.22576,1.84995,1.03317,1.33943,0.00062,0.00062,0.00062
62,9921.84,1.10434,0.6319,0.99512,0.67184,0.49699,0.50604,0.22504,1.8497,1.04078,1.34439,0.000613667,0.000613667,0.000613667
63,10078.4,1.09877,0.62109,0.99213,0.65646,0.50478,0.50821,0.22649,1.85528,1.04349,1.34443,0.000607333,0.000607333,0.000607333
64,10234.3,1.09332,0.62527,0.9942,0.68249,0.49594,0.50924,0.22599,1.84542,1.02636,1.34199,0.000601,0.000601,0.000601
65,10390.1,1.09804,0.68892,0.9923,0.6708,0.50144,0.5139,0.22788,1.84529,1.02223,1.34512,0.000594667,0.000594667,0.000594667
66,10545.9,1.08859,0.61819,0.98903,0.6688,0.49787,0.50879,0.22708,1.8507,1.01969,1.34718,0.000588333,0.000588333,0.000588333
67,10701.9,1.08677,0.61709,0.98613,0.66567,0.50403,0.50701,0.22573,1.85766,1.0409,1.35067,0.000582,0.000582,0.000582
68,10857.8,1.07859,0.61205,0.98464,0.67044,0.51261,0.51153,0.22721,1.85237,1.02667,1.35125,0.000575667,0.000575667,0.000575667
69,11013.7,1.07292,0.61944,0.984,0.66922,0.50776,0.51307,0.22773,1.8591,1.02686,1.3554,0.000569333,0.000569333,0.000569333
70,11169.4,1.06684,0.61051,0.98142,0.66589,0.50855,0.51109,0.22662,1.84765,1.02152,1.35342,0.000563,0.000563,0.000563
71,11325.5,1.06409,0.606,0.97944,0.66968,0.5177,0.51741,0.22826,1.84206,1.01089,1.34925,0.000556667,0.000556667,0.000556667
72,11483,1.06535,0.60996,0.97788,0.6637,0.52015,0.51512,0.22805,1.84802,1.01704,1.3516,0.000550333,0.000550333,0.000550333
73,11638.9,1.06285,0.60694,0.9807,0.67894,0.51059,0.51364,0.22712,1.8539,1.02101,1.35641,0.000544,0.000544,0.000544
74,11794.3,1.05438,0.59753,0.97579,0.67513,0.51614,0.51577,0.22713,1.85126,1.01837,1.35308,0.000537667,0.000537667,0.000537667
75,11949.6,1.0498,0.59416,0.97544,0.67115,0.5111,0.51153,0.22659,1.8556,1.0223,1.35558,0.000531333,0.000531333,0.000531333
76,12105.1,1.0444,0.58934,0.97156,0.66006,0.51196,0.50912,0.22622,1.85973,1.03263,1.35857,0.000525,0.000525,0.000525
77,12260.6,1.03197,0.58869,0.96638,0.66078,0.51059,0.51141,0.2265,1.85739,1.03076,1.35623,0.000518667,0.000518667,0.000518667
78,12416,1.03183,0.58553,0.96827,0.66447,0.50859,0.51114,0.22579,1.86058,1.02681,1.35971,0.000512333,0.000512333,0.000512333
79,12571.4,1.02829,0.58769,0.96616,0.65562,0.51053,0.50879,0.22595,1.85319,1.02248,1.3583,0.000506,0.000506,0.000506
80,12727.2,1.02267,0.58479,0.96536,0.66595,0.51183,0.51079,0.22638,1.85723,1.01866,1.36123,0.000499667,0.000499667,0.000499667
81,12882.7,1.01939,0.58853,0.96252,0.66406,0.50819,0.50888,0.22707,1.85175,1.01323,1.35982,0.000493333,0.000493333,0.000493333
82,13038.3,1.01181,0.57503,0.95835,0.65867,0.51256,0.50978,0.22781,1.84903,1.0145,1.3585,0.000487,0.000487,0.000487
83,13193.6,1.01688,0.58026,0.96383,0.6555,0.51524,0.509,0.2279,1.84846,1.0127,1.35806,0.000480667,0.000480667,0.000480667
84,13349.6,1.00395,0.56528,0.95558,0.66873,0.51436,0.51149,0.22821,1.84612,1.01876,1.35829,0.000474333,0.000474333,0.000474333
85,13505.1,1.00185,0.56509,0.95508,0.65937,0.51587,0.50909,0.22745,1.84231,1.01954,1.35741,0.000468,0.000468,0.000468
86,13662.2,0.99566,0.56375,0.95714,0.66347,0.51453,0.50973,0.22801,1.84084,1.02652,1.3562,0.000461667,0.000461667,0.000461667
87,13817.2,0.99034,0.56504,0.9554,0.6703,0.51181,0.50888,0.22812,1.83942,1.02696,1.35643,0.000455333,0.000455333,0.000455333
88,13972.8,0.98726,0.57432,0.95097,0.66407,0.51189,0.5086,0.2276,1.84331,1.02347,1.35819,0.000449,0.000449,0.000449
89,14128.3,0.98046,0.5649,0.94909,0.65842,0.51756,0.51109,0.22756,1.84449,1.02711,1.35916,0.000442667,0.000442667,0.000442667
90,14283.8,0.99042,0.55951,0.95158,0.66983,0.51712,0.51197,0.22752,1.84167,1.0266,1.35849,0.000436333,0.000436333,0.000436333
91,14439.6,0.98202,0.55728,0.94816,0.67024,0.51533,0.51251,0.22758,1.84104,1.02512,1.36009,0.00043,0.00043,0.00043
